"group"	"sourceFolderSlug"	"targetUlid"	"targetLocationID"	"targetName"	"resolution"	"searchMatches"	"folderExists"	"imageCount"	"nonLogoImageCount"	"selectedFiles"	"preferredSlug"	"alternateSlug"	"preferredExactStatus"	"alternateExactStatus"	"searchAlternates"	"note"
"brooklyn"	"brooklyn-bagel-7558"	""	""	""	"unresolved"	"0"	"True"	"5"	"5"	"508693353_702206852562301_9011184825877765509_n.jpg|514356313_724564883659831_2269204728960974537_n.jpg|518381864_724563480326638_6375278603845305393_n.jpg"	"brooklyn-bagel-7558"	""	""	""	""	"known useful photos"
"corden"	"corden-budapest11-kozponti-laboratorium-3186"	""	""	""	"unresolved"	"0"	"True"	"6"	"5"	"Slide-nyito.png|Slide-nyito.jpg|altalanos-laborvizsgalat-400x400.jpg"	"corden-budapest11-kozponti-laboratorium-3186"	""	"200"	""	""	"only Corden folder with real media"
"helen-doron-budakeszi"	"helen-doron-budakeszi-7088"	""	""	""	"unresolved"	"0"	"True"	"3"	"3"	"536287861_1318045593561611_6014842644214475366_n.jpg|business7.jpg|11.jpg"	"helen-doron-budakeszi-7088"	"hd-budakeszi-7088"	""	"200"	""	"resolve which slug prevailed"
"helen-doron-nagykovacsi"	"helen-doron-nagykovacsi-9457"	""	""	""	"unresolved"	"0"	"True"	"3"	"3"	"536287861_1318045593561611_6014842644214475366_n.jpg|business7.jpg|11.jpg"	"helen-doron-nagykovacsi-9457"	"hd-nagykovacsi-9457"	""	"200"	""	"resolve which slug prevailed"
"helen-doron-esztergom"	"hd-esztergom-2883"	""	""	""	"unresolved"	"0"	"False"	"0"	"0"	""	"hd-esztergom-2883"	""	"200"	""	""	"resolve exact slug"
"helen-doron-debrecen-hadhazi"	"hd-debrecen-hadhazi-8910"	""	""	""	"unresolved"	"0"	"False"	"0"	"0"	""	"hd-debrecen-hadhazi-8910"	""	"200"	""	""	"resolve exact slug"
"helen-doron-debrecen-darabos"	"hd-debrecen-darabos-4026"	""	""	""	"unresolved"	"0"	"False"	"0"	"0"	""	"hd-debrecen-darabos-4026"	""	"200"	""	""	"resolve exact slug"
"keves"	"keves-andor-photography-9719"	""	""	""	"unresolved"	"0"	"True"	"8"	"8"	"0282CSA_3510.jpg|NYE_2242pro-2.jpg|KIS_4137.jpg"	"keves-andor-photography-9719"	""	""	""	""	"screenshot useful folder"
"kismezo"	"kismezo-budapest-9912"	""	""	""	"unresolved"	"0"	"True"	"3"	"3"	"img-01.png|img-03.jpg|img-05.png"	"kismezo-budapest-9912"	""	"200"	""	""	"screenshot useful folder"
"lupa"	"lupa-event-hall-1118"	""	""	""	"unresolved"	"0"	"True"	"6"	"6"	"img-06.jpg|img-03.jpg|img-05.jpg"	"lupa-event-hall-1118"	""	"200"	""	""	"screenshot useful folder"
"mak"	"mak-restaurant-8055"	""	""	""	"unresolved"	"0"	"True"	"7"	"7"	"img-05.png|img-07.png|img-03.png"	"mak-restaurant-8055"	""	"200"	""	""	"screenshot useful folder"
"obuda"	"obuda-synagogue-5811"	""	""	""	"unresolved"	"0"	"True"	"1"	"1"	"Óbuda_Synagogue_02.jpeg"	"obuda-synagogue-5811"	""	""	""	""	"screenshot useful folder"
"platan"	"platan-gourmet-restaurant-8179"	""	""	""	"unresolved"	"0"	"True"	"4"	"4"	"img-02.jpg|img-04.jpg|img-03.jpg"	"platan-gourmet-restaurant-8179"	""	"200"	""	""	"screenshot useful folder"
"rumour"	"rumour-by-racz-jeno-0603"	""	""	""	"unresolved"	"0"	"True"	"3"	"3"	"img-01.jpg|img-07.jpg|img-05.jpg"	"rumour-by-racz-jeno-0603"	""	"200"	""	""	"screenshot useful folder"
"sagrada"	"sagrada-familia-4424"	""	""	""	"unresolved"	"0"	"True"	"3"	"3"	"sagrade-renamed.jpg|Sagrada_Familia_01.jpg|Sagrada_Familia_8-12-21_(7).jpg"	"sagrada-familia-4424"	""	""	""	""	"screenshot useful folder"
"vibe"	"vibe-budapest-7954"	""	""	""	"unresolved"	"0"	"True"	"1"	"0"	""	"vibe-budapest-7954"	""	"200"	""	""	"screenshot useful folder"
"souvenir-deak"	"world-of-souvenir-deak-1655"	""	""	""	"unresolved"	"0"	"True"	"7"	"7"	"117155249_598045304245113_5477875408431367290_n.jpg|107396503_585069005542743_8335250033938635560_n.jpg|108337184_585069042209406_5566443769471249306_n.jpg"	"world-of-souvenir-deak-1655"	""	"200"	""	""	"screenshot useful folder"
"souvenir-kiraly"	"world-of-souvenir-kiraly-7451"	""	""	""	"unresolved"	"0"	"True"	"8"	"8"	"117155249_598045304245113_5477875408431367290_n.jpg|107396503_585069005542743_8335250033938635560_n.jpg|108337184_585069042209406_5566443769471249306_n.jpg"	"world-of-souvenir-kiraly-7451"	""	"200"	""	""	"screenshot useful folder"
